timestamp,zone,city,keyword,raw_query,status_code,number_of_results,error_message
2026-05-24T16:49:53Z,Zone 1 — Windsor / Essex County,Windsor,manufacturer,"manufacturer in Windsor, Ontario, Canada",200,20,
2026-05-24T16:49:54Z,Zone 1 — Windsor / Essex County,Windsor,manufacturing company,"manufacturing company in Windsor, Ontario, Canada",200,20,
2026-05-24T16:49:54Z,Zone 1 — Windsor / Essex County,Windsor,OEM manufacturer,"OEM manufacturer in Windsor, Ontario, Canada",200,20,
2026-05-24T16:49:55Z,Zone 1 — Windsor / Essex County,Windsor,automotive parts manufacturer,"automotive parts manufacturer in Windsor, Ontario, Canada",200,15,
2026-05-24T16:49:56Z,Zone 1 — Windsor / Essex County,Windsor,auto parts manufacturer,"auto parts manufacturer in Windsor, Ontario, Canada",200,20,
2026-05-24T16:49:57Z,Zone 1 — Windsor / Essex County,Windsor,machine shop,"machine shop in Windsor, Ontario, Canada",200,20,
2026-05-24T16:49:57Z,Zone 1 — Windsor / Essex County,Windsor,CNC machine shop,"CNC machine shop in Windsor, Ontario, Canada",200,20,
2026-05-24T16:49:58Z,Zone 1 — Windsor / Essex County,Windsor,metal fabrication,"metal fabrication in Windsor, Ontario, Canada",200,20,
2026-05-24T16:49:59Z,Zone 1 — Windsor / Essex County,Windsor,fabrication shop,"fabrication shop in Windsor, Ontario, Canada",200,20,
2026-05-24T16:50:00Z,Zone 1 — Windsor / Essex County,Windsor,industrial supplier,"industrial supplier in Windsor, Ontario, Canada",200,20,
2026-05-24T16:50:01Z,Zone 1 — Windsor / Essex County,Windsor,industrial equipment supplier,"industrial equipment supplier in Windsor, Ontario, Canada",200,20,
2026-05-24T16:50:01Z,Zone 1 — Windsor / Essex County,Windsor,warehouse,"warehouse in Windsor, Ontario, Canada",200,20,
2026-05-24T16:50:02Z,Zone 1 — Windsor / Essex County,Windsor,distribution center,"distribution center in Windsor, Ontario, Canada",200,10,
2026-05-24T16:50:03Z,Zone 1 — Windsor / Essex County,Windsor,plastics manufacturer,"plastics manufacturer in Windsor, Ontario, Canada",200,20,
2026-05-24T16:50:04Z,Zone 1 — Windsor / Essex County,Windsor,packaging manufacturer,"packaging manufacturer in Windsor, Ontario, Canada",200,18,
2026-05-24T16:50:04Z,Zone 1 — Windsor / Essex County,Windsor,food manufacturer,"food manufacturer in Windsor, Ontario, Canada",200,20,
2026-05-24T16:50:05Z,Zone 1 — Windsor / Essex County,Windsor,tool and die maker,"tool and die maker in Windsor, Ontario, Canada",200,12,
2026-05-24T16:50:06Z,Zone 1 — Windsor / Essex County,Windsor,injection molding company,"injection molding company in Windsor, Ontario, Canada",200,20,
2026-05-24T16:50:07Z,Zone 1 — Windsor / Essex County,Windsor,logistics warehouse,"logistics warehouse in Windsor, Ontario, Canada",200,20,
2026-05-24T16:50:07Z,Zone 1 — Windsor / Essex County,Windsor,commercial printing company,"commercial printing company in Windsor, Ontario, Canada",200,20,
2026-05-24T16:50:08Z,Zone 1 — Windsor / Essex County,LaSalle,manufacturer,"manufacturer in LaSalle, Ontario, Canada",200,20,
2026-05-24T16:50:09Z,Zone 1 — Windsor / Essex County,LaSalle,manufacturing company,"manufacturing company in LaSalle, Ontario, Canada",200,20,
