timestamp,zone,city,keyword,raw_query,status_code,number_of_results,error_message
2026-05-24T16:40:41Z,Zone 1 — Windsor / Essex County,Windsor,manufacturer,"manufacturer in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:42Z,Zone 1 — Windsor / Essex County,Windsor,manufacturing company,"manufacturing company in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:42Z,Zone 1 — Windsor / Essex County,Windsor,OEM manufacturer,"OEM manufacturer in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:43Z,Zone 1 — Windsor / Essex County,Windsor,automotive parts manufacturer,"automotive parts manufacturer in Windsor, Ontario, Canada",200,15,
2026-05-24T16:40:44Z,Zone 1 — Windsor / Essex County,Windsor,auto parts manufacturer,"auto parts manufacturer in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:45Z,Zone 1 — Windsor / Essex County,Windsor,machine shop,"machine shop in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:46Z,Zone 1 — Windsor / Essex County,Windsor,CNC machine shop,"CNC machine shop in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:46Z,Zone 1 — Windsor / Essex County,Windsor,metal fabrication,"metal fabrication in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:48Z,Zone 1 — Windsor / Essex County,Windsor,fabrication shop,"fabrication shop in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:48Z,Zone 1 — Windsor / Essex County,Windsor,industrial supplier,"industrial supplier in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:49Z,Zone 1 — Windsor / Essex County,Windsor,industrial equipment supplier,"industrial equipment supplier in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:50Z,Zone 1 — Windsor / Essex County,Windsor,warehouse,"warehouse in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:51Z,Zone 1 — Windsor / Essex County,Windsor,distribution center,"distribution center in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:51Z,Zone 1 — Windsor / Essex County,Windsor,plastics manufacturer,"plastics manufacturer in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:52Z,Zone 1 — Windsor / Essex County,Windsor,packaging manufacturer,"packaging manufacturer in Windsor, Ontario, Canada",200,18,
2026-05-24T16:40:53Z,Zone 1 — Windsor / Essex County,Windsor,food manufacturer,"food manufacturer in Windsor, Ontario, Canada",200,20,
2026-05-24T16:40:54Z,Zone 1 — Windsor / Essex County,Windsor,tool and die maker,"tool and die maker in Windsor, Ontario, Canada",200,12,
