place_id,company_name,formatted_address,city_searched,zone,keyword_searched,raw_query
ChIJ29eZb8WLLogR-H6m0v1H7J0,143 Borden Ave,"143 Borden Ave, Belmont, ON N0L 1B0, Canada",Belmont,Zone 4 — London / Middlesex,hub_address_search,"143 Borden Ave , Belmont, ON N0L 1B0, Canada"
ChIJW9r1UoeMK4gRFrFSvpng8XM,244 Woolwich St S,"244 Woolwich St S, Breslau, ON N0B 1M0, Canada",Breslau,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,hub_address_search,"244 Woolwich St S , Breslau, ON N0B 1M0, Canada"
ChIJxX5cYCp9LogRqr7tHlEyiC4,516 John St N,"516 John St N, Aylmer, ON N5H 1Y9, Canada",Aylmer,Zone 4 — London / Middlesex,hub_address_search,"516 John St N , Aylmer, ON N5H 2B8, Canada"
ChIJaQPpfIv7LogR1_dUDVXTu2o,10166 Glendon Dr,"10166 Glendon Dr, Komoka, ON N0L 1R0, Canada",Komoka,Zone 4 — London / Middlesex,hub_address_search,"10166 Glendon Dr , Komoka, ON N0L 1R0, Canada"
ChIJ1yhCzH-MK4gRdmaqbZ9OiDI,280 Woolwich St S,"280 Woolwich St S, Breslau, ON N0B 1M0, Canada",Breslau,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,hub_address_search,"280 Woolwich St S , Breslau, ON N0B 1M0, Canada"
ChIJpc7jSJA8O4gRb_0Hcj-9WYY,400 Sandwich St S,"400 Sandwich St S, Amherstburg, ON N9V 3L4, Canada",Amherstburg,Zone 1 — Windsor / Essex County,hub_address_search,"400 Sandwich St S , Amherstburg, ON N9V 3L4, Canada"
ChIJPZjOHAMEL4gRVKLyJ4jYrnU,425 Caradoc St S,"425 Caradoc St S, Strathroy, ON N7G 2P5, Canada",Strathroy,Zone 4 — London / Middlesex,hub_address_search,"425 Caradoc St S , Strathroy, ON N7G 2P5, Canada"
ChIJDXUe1LqcJYgRpC5a2GuTLlA,704 Mara St,"704 Mara St, Point Edward, ON N7V 1X4, Canada",Point Edward,Zone 3 — Sarnia / Lambton County,hub_address_search,"704 Mara St , Point Edward, ON N7V 1X4, Canada"
ChIJ7WwFifSMK4gRlqlequgpTlw,Unit #11,"Unit #11, 10 Townsend Dr, Breslau, ON N0B 1M0, Canada",Breslau,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,hub_address_search,"10 Townsend Dr, Breslau, ON N0B 1M0, Canada"
ChIJgx-kVfOCJYgRT10awL_vMqU,101 Duff Dr,"101 Duff Dr, Sarnia, ON N7W 1A7, Canada",Sarnia,Zone 3 — Sarnia / Lambton County,hub_address_search,"101 Duff Dr , Sarnia, ON N7W 1A7, Canada"
ChIJl0hsI8zzK4gRVsnMqbpo_3s,Unit B&C,"Unit B&C, 105 Northland Rd, Waterloo, ON N2V 1Y8, Canada",Waterloo,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,hub_address_search,"105 Northland Rd , Waterloo, ON N2V 1Y8, Canada"
ChIJO4m2BSReLogR7XHbSMRkxw0,1063 Talbot St,"1063 Talbot St, St Thomas, ON N5P 1G4, Canada",St. Thomas,Zone 4 — London / Middlesex,hub_address_search,"1063 Talbot St , St Thomas, ON N5P 1G4, Canada"
ChIJIwc8BMmJK4gRUzCOyYE3Xio,1297 Industrial Rd,"1297 Industrial Rd, Cambridge, ON N3H 4W3, Canada",Cambridge,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,hub_address_search,"1297 Industrial Rd , Cambridge, ON N3H 4W3, Canada"
