place_id,company_name,formatted_address,city_searched,zone,keyword_searched,raw_query
ChIJe7m1zX8qO4gR5xZSuRANrcY,Exkor Manufacturing,"3590 Valtec Ct, Windsor, ON N8N 5E6, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJm9x4brkrO4gR_qaZBoHYlio,Cavalier Tool & Manufacturing Ltd,"3450 Wheelton Dr, Windsor, ON N8W 5A7, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJ4W3tbwArO4gRNfWXkFEU2Bo,Minth Windsor Manufacturing,"5000 Cabana Road E, Windsor, ON N8V 0A1, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJoxti3-8qO4gRRFPpnEAmJd0,Ventra Plastics-Windsor,"2800 Kew Dr, Windsor, ON N8T 3C6, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJdc2aD4IrO4gR8K8UR6hgtx8,Stellantis (Chrysler) Windsor,"2199 Chrysler Centre, Windsor, ON N8W 3Y3, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJPw3XI_0xO4gRPd4fHUVQ904,Cannon Automotive Solutions,"600 Sprucewood Ave, Windsor, ON N9C 0B2, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJUfDepp8rO4gRJ50cmeS1rmo,OPmobility Canada Inc.,"2570 Central Ave, Windsor, ON N8W 4J5, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJQ4da1xotO4gRygrg0DK8Tzc,BASF Canada Inc,"845 Wyandotte St W, Windsor, ON N9A 5Y1, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJVVVVpPMxO4gR4zr8tIvnVUc,STM-LM Manufacturing & Logistics,"599 Sprucewood Ave, Windsor, ON N9C 0B3, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJB6zPTiorO4gRsB32MSTHvDI,Assembly WINDSOR,"6500 Cantelon Dr #100, Windsor, ON N8T 0A6, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJKbzZjesxO4gRdAvPnI75FpA,Papp Plastics & Distributing Ltd,"6120 Morton Industrial Dr, Windsor, ON N9J 3W3, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJUVcJTHYyO4gRDyry7vhcAWA,Southwestern Manufacturing Inc.,"3710 Peter St, Windsor, ON N9C 1J9, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJsxDVLg4pO4gR-U1BFDa4OvI,JNM Manufacturing Inc.,"3900 Delduca Dr, Tecumseh, ON N0R 1L0, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJ0ZZbcPoxO4gRHUdBEhFAKIc,Plasman - Windsor 3 Manufacturing,"635 Sprucewood Ave, Windsor, ON N9C 0B3, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJlVz87UApO4gROdbmWiX1yfY,Plasman - Windsor 1 Manufacturing,"5250 Outer Dr, Tecumseh, ON N9G 3B9, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJZf0d4GcsO4gRWZqZbsjj-XQ,ATMIS Purchases - Harbour Technologies Windsor,"2545 Doty Pl, Windsor, ON N8X 2W5, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJk-Hs3ITUOogRfTogVpZnQFM,Plasman - Tecumseh Manufacturing,"418 Silver Creek Industrial Dr, Windsor, ON N8N 4Y3, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJ2UXvYOotO4gR-hIYN0qOD9Q,Windsor Mold Group,"4035 Malden Rd, Windsor, ON N9C 2G4, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJf28gaZYrO4gR0mc_Qxzsiqs,Reactive Manufacturing Inc.,"4155 Walker Rd, Windsor, ON N8W 3T6, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJAc1k3YTUOogRpVu_RfgzXNA,CapsCanada,"456 Silver Creek Industrial Dr, Windsor, ON N8N 4Y3, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Windsor, Ontario, Canada"
ChIJE5S9scIrO4gRwIGYWUO6AdU,The NARMCO Group,"2575 Airport Rd, Windsor, ON N8W 1Z4, Canada",Windsor,Zone 1 — Windsor / Essex County,manufacturing company,"manufacturing company in Windsor, Ontario, Canada"
